match,velocity,north,east,lat,lon,current_velocity,current_latitude,current_longitude,delta_time,u1,u2
1,0.0,0.0,1.0,33.193004805804946,-117.37831197321779,71.2339706420898,33.17180457789167,-117.36226089408245,305,14882,14886
1,0.0,0.0,1.0,33.193004805804946,-117.37831197321779,84.1398468017578,33.124811278763261,-117.3270855562866,485,14882,14887
1,55.0596809387207,0.0,1.0,40.11574964722378,-79.758120895911816,50.2564811706543,40.164796465761178,-79.759035345758448,288,14882,14883
1,55.0596809387207,0.0,1.0,40.11574964722378,-79.758120895911816,49.9582290649414,40.19893347742984,-79.76388085489539,570,14882,14884
1,40.1508369445801,0.0,1.0,41.997776955401271,-72.604134680322062,26.7672233581543,42.074849457406238,-72.585001320875534,360,14882,14883
1,40.1508369445801,0.0,1.0,41.997776955401271,-72.604134680322062,25.0067520141602,42.092746878369816,-72.585338633465071,542,14882,14884
1,66.5042266845703,0.0,1.0,42.521149704649268,-72.601182135866836,27.100528717041,42.572667783548752,-72.592477949042262,357,14882,14883
1,66.5042266845703,0.0,1.0,42.521149704649268,-72.601182135866836,12.4833402633667,42.584119841033186,-72.599839159266722,509,14882,14884
1,0.0,0.0,1.0,37.229646012868841,-120.24681610173057,0.0,37.229690471619683,-120.24680008068343,306,14882,14883
1,0.0,0.0,1.0,37.229646012868841,-120.24681610173057,0.0,37.2307353358293,-120.24816233322868,570,14882,14884
1,124.199996948242,0.0,1.0,40.095097062138109,-74.896005417775882,109.900001525879,40.213108126042542,-74.760537017109726,353,14882,14883
1,124.199996948242,0.0,1.0,40.095097062138109,-74.896005417775882,132.199996948242,40.27466779489864,-74.677348566552553,534,14882,14884
1,60.9067802429199,0.0,1.0,42.452896525955339,-86.090901955394017,62.625373840332,42.561211765566412,-86.096402359115231,382,14882,14883
1,60.9067802429199,0.0,1.0,42.452896525955339,-86.090901955394017,50.5302391052246,42.597129732267383,-86.099660760946918,546,14882,14884
1,79.3739318847656,0.0,1.0,38.123475302397772,-122.10101113327821,64.6660766601563,38.170971170173218,-122.07980260577853,311,14882,14883
1,93.0999984741211,0.0,1.0,41.89708041330676,-71.35891026927132,128.369033813477,42.047091661380534,-71.209760058370463,373,14882,14883
1,93.0999984741211,0.0,1.0,41.89708041330676,-71.35891026927132,129.699996948242,42.129874826810855,-71.179749549305143,543,14882,14884
1,43.9992790222168,0.0,1.0,41.569477250584789,-87.664396293557587,79.6783981323242,41.651194927767257,-87.620809018626815,262,14882,14883
1,43.9992790222168,0.0,1.0,41.569477250584789,-87.664396293557587,29.0055999755859,41.684396117242748,-87.612352316341358,391,14882,14884
1,0.0807782337069511,0.0,1.0,39.685724528083682,-110.85361093263865,28.6017093658447,39.690678189789423,-110.85497618882606,181,14883,14884
